sku,product_state,state_source,evidence_first_month_units,evidence_last_month_units,evidence_max_monthly_increase
CWVERS35BE160R,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
DEALETTAMU090,active,HEURISTIC_PROXY,0.0,5.0,3.0
DEALIDAGO090,active,HEURISTIC_PROXY,0.0,5.0,3.0
DEANJAMU090,active,HEURISTIC_PROXY,0.0,6.0,4.0
DEARMANDBL160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DEARMANDGR160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DEARMANDGR200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DEAZALEA090,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
DEAZALEA160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DECAMELLIAGO090,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DECAMELLIAGO200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DECAMELLIAGR090,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DECAMELLIAGR200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DEINES090,active,HEURISTIC_PROXY,4.0,5.0,3.0
DEINES160,active,HEURISTIC_PROXY,3.0,7.0,6.0
DEINESBL090,active,HEURISTIC_PROXY,0.0,9.0,4.0
DEINESGR090,active,HEURISTIC_PROXY,0.0,7.0,6.0
DEINESGR160,active,HEURISTIC_PROXY,0.0,4.0,4.0
DELOUISE060,active,HEURISTIC_PROXY,6.0,8.0,6.0
DELOUISE120,phase_out,HEURISTIC_PROXY,2.0,1.0,1.0
DELOUISE160,active,HEURISTIC_PROXY,2.0,5.0,4.0
DELYA060,active,HEURISTIC_PROXY,6.0,5.0,3.0
DELYA090,active,HEURISTIC_PROXY,6.0,11.0,4.0
DELYA120,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
DEMATHIOLA090,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DEMATHIOLA200,phase_out,HEURISTIC_PROXY,2.0,1.0,0.0
DEMATHIOLAGR060,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENEMESIA080T,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENEMESIA090,phase_out,HEURISTIC_PROXY,3.0,0.0,0.0
DENEMESIA120,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENEMESIA160,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENEMESIA200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENEPETABL090,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENEPETABL160,phase_out,HEURISTIC_PROXY,2.0,0.0,0.0
DENEPETAGR200,phase_out,HEURISTIC_PROXY,1.0,0.0,0.0
DENIGELLA060,phase_out,HEURISTIC_PROXY,3.0,0.0,0.0
